n,label,dim,D,lnD,height,s_n
0,A4+A1,188,60,4.0943445622221,3,0.0
1,D5(a1),190,58,4.060443010546419,4,-0.03390155167568132
2,A4+2A1,192,56,4.02535169073515,2,-0.03509131981126945
3,A4+A2,194,54,3.9889840465642745,2,-0.036367644170875124
4,D5(a1)+A1,196,52,3.9512437185814275,3,-0.03774032798284699
5,D4+A2,198,50,3.912023005428146,2,-0.03922071315328157
6,A4+A3,200,48,3.871201010907891,2,-0.04082199452025481
7,A5+A1,202,46,3.828641396489095,3,-0.04255961441879608
8,D6(a2),204,44,3.784189633918261,2,-0.04445176257083405
9,E6(a3)+A1,206,42,3.7376696182833684,3,-0.04652001563489261
10,D5+A1,208,40,3.6888794541139363,5,-0.04879016416943216
11,D6(a1),210,38,3.6375861597263857,4,-0.05129329438755059
12,E7(a4),212,36,3.58351893845611,4,-0.054067221270275745
13,D5+A2,214,34,3.5263605246161616,5,-0.05715841383994835
14,D7(a2),216,32,3.4657359027997265,4,-0.06062462181643502
15,A7,218,30,3.4011973816621555,4,-0.06453852113757108
16,E8(b6),220,28,3.332204510175204,4,-0.06899287148695166
17,D7(a1),222,26,3.258096538021482,6,-0.07410797215372167
18,E7(a2),224,24,3.1780538303479458,6,-0.08004270767353638
19,D7,226,22,3.091042453358316,6,-0.08701137698962969
20,E8(a5),228,20,2.995732273553991,6,-0.09531017980432521
21,E8(b4),230,18,2.8903717578961645,9,-0.10536051565782634
22,E7,232,16,2.772588722239781,10,-0.11778303565638337
23,E8(a3),234,14,2.6390573296152584,12,-0.13353139262452274
24,E8(a2),236,12,2.4849066497880004,12,-0.15415067982725805
25,E8(a1),238,10,2.302585092994046,14,-0.18232155679395445
26,E8,240,8,2.0794415416798357,16,-0.22314355131421015
